CWE,CWE Count,EPSS
CWE-124,2,0.00086
CWE-194,2,0.00104
CWE-943,2,0.02299
CWE-75,2,0.00189
CWE-304,2,0.00105
CWE-911,2,0.00159
CWE-603,2,0.00092
CWE-115,2,0.00423
CWE-318,2,0.00044
CWE-1004,2,0.00052
CWE-833,2,0.00046
CWE-280,2,0.00092
CWE-349,2,0.0005
CWE-267,2,0.00172
CWE-549,2,0.00046
CWE-350,2,0.00197
CWE-757,2,0.00171
CWE-1286,2,0.00049
CWE-342,2,0.00591
CWE-842,2,0.00043
CWE-680,2,0.00056
CWE-112,2,0.00302
CWE-1287,1,0.00044
CWE-29,1,0.00042
CWE-391,1,0.00044
CWE-923,1,0.0006
CWE-691,1,0.00043
CWE-363,1,0.00048
CWE-24,1,0.00053
CWE-424,1,0.00053
CWE-395,1,0.00053
CWE-690,1,0.00049
CWE-1283,1,0.00045
CWE-602,1,0.00091
CWE-1077,1,0.00062
CWE-141,1,0.00057
CWE-562,1,0.00106
CWE-1026,1,0.00091
CWE-571,1,0.00044
CWE-187,1,0.00091
CWE-941,1,0.00048
CWE-523,1,0.00087
CWE-524,1,0.00052
CWE-1282,1,0.00042
CWE-1391,1,0.00043
CWE-322,1,0.00089
CWE-35,1,0.00089
CWE-451,1,0.00105
CWE-274,1,0.0005
CWE-98,1,0.00171
CWE-1320,1,0.00045
CWE-597,1,0.0014
CWE-455,1,0.00042
CWE-671,1,0.0007
CWE-1258,1,0.00087
CWE-84,1,0.0009
CWE-146,1,0.00045
CWE-1108,1,0.00087
CWE-895,1,0.0011
CWE-242,1,0.00084
CWE-183,1,0.00303
CWE-643,1,0.00124
CWE-435,1,0.00074
CWE-323,1,0.00135
CWE-270,1,0.00054
CWE-299,1,0.00044
CWE-303,1,0.00313
CWE-506,1,0.00202
CWE-364,1,0.00044
CWE-114,1,0.00042
CWE-684,1,0.00091
CWE-268,1,0.00042
CWE-325,1,0.0026
CWE-371,1,0.00159
CWE-313,1,0.00173
CWE-216,1,0.00042
CWE-628,1,0.00502
CWE-573,1,0.00054
CWE-317,1,0.00057
CWE-337,1,0.00052
CWE-260,1,0.00235
CWE-774,1,0.00074
CWE-775,1,0.00044
CWE-235,1,0.00063
CWE-759,1,0.00179
CWE-567,1,0.00054
CWE-525,1,0.00042
CWE-507,1,0.00201
CWE-456,1,0.00088
CWE-214,1,0.00152
CWE-15,1,0.00147
CWE-1329,1,0.00059
CWE-1278,1,0.00059
CWE-315,1,0.00044
CWE-710,1,0.00104
CWE-277,1,0.00111
CWE-649,1,0.00133
CWE-36,1,0.00102
CWE-539,1,0.00069
CWE-283,1,0.00071
CWE-598,1,0.00072
CWE-527,1,0.00242
CWE-644,1,0.00072
CWE-540,1,0.00094
CWE-64,1,0.00042
CWE-1076,1,0.0005
CWE-279,1,0.00117
CWE-334,1,0.00054
CWE-195,1,0.06265
CWE-271,1,0.00068
CWE-760,1,0.00046
CWE-229,1,0.00046
